Nama_Variety,Gred,Unit,Harga_Tinggi,Harga_Purata,Harga_Rendah,Tarikh
AYAM PROSES SUPER, F.A.Q, KILOGRAM, 8.50, 8.50, 8.10,2021-05-04
BAWANG BESAR KUNING / HOLLAND, F.A.Q, KILOGRAM, 5.50, 5.00, 4.50,2021-05-04
BAWANG BESAR MERAH (IMPORT), F.A.Q, KILOGRAM, 6.00, 5.00, 4.00,2021-05-04
BAWANG MERAH / KECIL (IMPORT), F.A.Q, KILOGRAM, 7.00, 6.00, 6.00,2021-05-04
BAWANG MERAH / KECIL (THAI), F.A.Q, KILOGRAM, 10.00, 9.00, 8.00,2021-05-04
BAWANG PUTIH (CHINA), F.A.Q, KILOGRAM, 9.00, 8.00, 8.00,2021-05-04
BAYAM , F.A.Q, KILOGRAM, 6.00, 6.00, 5.00,2021-05-04
BELIMBING (B10), F.A.Q, KILOGRAM, 8.00, 7.00, 6.00,2021-05-04
BETIK SEKAKI, F.A.Q, KILOGRAM, 5.50, 5.00, 5.00,2021-05-04
BUNGA KANTAN, F.A.Q, TANGKAI, 1.50, 1.20, 1.00,2021-05-04
CILI HIJAU (IMPORT), F.A.Q, KILOGRAM, 11.00, 10.00, 9.00,2021-05-04
CILI MERAH KULAI / KULAI HIBRID, F.A.Q, KILOGRAM, 11.00, 10.00, 9.00,2021-05-04
DAGING LEMBU PEJAL, F.A.Q, KILOGRAM, 34.00, 34.00, 32.00,2021-05-04
DAGING PEJAL (INDIA), F.A.Q, KILOGRAM, 25.00, 25.00, 24.00,2021-05-04
DAUN BAWANG, F.A.Q, KILOGRAM, 17.00, 16.00, 15.00,2021-05-04
DAUN SUP (TANAH TINGGI), F.A.Q, KILOGRAM, 12.00, 11.00, 10.00,2021-05-04
KACANG BENDI, F.A.Q, KILOGRAM, 8.00, 7.00, 6.00,2021-05-04
KACANG BUNCIS, F.A.Q, KILOGRAM, 13.00, 12.00, 11.00,2021-05-04
KACANG PANJANG HIJAU, F.A.Q, KILOGRAM, 8.00, 7.00, 6.00,2021-05-04
KANGKUNG, F.A.Q, KILOGRAM, 5.00, 4.50, 3.00,2021-05-04
KELAPA DIKUPAS, SEDANG, BIJI, 2.50, 2.50, 2.40,2021-05-04
KELAPA PARUT, F.A.Q, KILOGRAM, 7.20, 7.20, 7.00,2021-05-04
KETOLA / PETOLA SEGI, F.A.Q, KILOGRAM, 6.00, 5.00, 4.00,2021-05-04
KUBIS BULAT (CHINA), F.A.Q, KILOGRAM, 5.00, 5.00, 4.00,2021-05-04
KUBIS BULAT (INDONESIA), F.A.Q, KILOGRAM, 4.00, 3.50, 3.00,2021-05-04
KUBIS BULAT (TANAH TINGGI), F.A.Q, KILOGRAM, 5.00, 4.50, 3.50,2021-05-04
PISANG BERANGAN, F.A.Q, KILOGRAM, 6.00, 5.00, 5.00,2021-05-04
PISANG MAS, F.A.Q, KILOGRAM, 6.00, 5.00, 5.00,2021-05-04
SANTAN PEKAT, F.A.Q, KILOGRAM, 12.00, 11.00, 11.00,2021-05-04
SAWI HIJAU, F.A.Q, KILOGRAM, 8.00, 7.00, 6.00,2021-05-04
TELUR AYAM, A, BIJI, .37, .37, .36,2021-05-04
TELUR AYAM, B, BIJI, .30, .30, .29,2021-05-04
TELUR AYAM, C, BIJI, .25, .25, .25,2021-05-04
TEMBIKAI MERAH, F.A.Q, KILOGRAM, 3.50, 3.50, 3.00,2021-05-04
TEMBIKAI MERAH TANPA BIJI, F.A.Q, KILOGRAM, 3.50, 3.50, 3.00,2021-05-04
TERUNG PANJANG / PEPARU (TANAH RENDAH), F.A.Q, KILOGRAM, 8.00, 7.00, 6.00,2021-05-04
TIMUN HIJAU , F.A.Q, KILOGRAM, 5.00, 4.00, 3.50,2021-05-04
TOMATO (TANAH TINGGI), F.A.Q, KILOGRAM, 4.00, 3.00, 2.50,2021-05-04
UBI KENTANG HOLLAND, F.A.Q, KILOGRAM, 4.00, 3.00, 3.00,2021-05-04
Pusat : KOTA BHARU, KELANTAN],,,,,2021-05-04
Nama Varieti, Gred, Unit, Harga],,,2021-05-04
Tinggi, Purata, Rendah],,,,2021-05-04
AYAM PROSES STANDARD, F.A.Q, KILOGRAM, 7.90, 7.90, 7.90,2021-05-04
AYAM PROSES SUPER, F.A.Q, KILOGRAM, 8.50, 8.50, 8.50,2021-05-04
BAWANG BESAR KUNING / HOLLAND, F.A.Q, KILOGRAM, 5.00, 5.00, 5.00,2021-05-04
BAWANG BESAR MERAH (IMPORT), F.A.Q, KILOGRAM, 5.00, 4.00, 4.00,2021-05-04
BAWANG BESAR MERAH (INDIA), F.A.Q, KILOGRAM, 5.00, 4.00, 4.00,2021-05-04
BAWANG MERAH / KECIL (IMPORT), F.A.Q, KILOGRAM, 5.00, 4.00, 4.00,2021-05-04
BAWANG MERAH / KECIL (INDIA), F.A.Q, KILOGRAM, 5.00, 5.00, 5.00,2021-05-04
BAWANG MERAH / KECIL (THAI), F.A.Q, KILOGRAM, 6.00, 5.00, 5.00,2021-05-04
BAWANG PUTIH (CHINA), F.A.Q, KILOGRAM, 7.00, 6.00, 6.00,2021-05-04
BAYAM , F.A.Q, KILOGRAM, 4.00, 3.00, 3.00,2021-05-04
BELIMBING (B10), F.A.Q, KILOGRAM, 6.00, 6.00, 6.00,2021-05-04
BETIK SEKAKI, F.A.Q, KILOGRAM, 4.00, 4.00, 4.00,2021-05-04
BUNGA KANTAN, F.A.Q, TANGKAI, 2.00, 2.00, 2.00,2021-05-04
CILI MERAH (CHINA), F.A.Q, KILOGRAM, 7.00, 6.00, 6.00,2021-05-04
CILI MERAH (THAILAND), F.A.Q, KILOGRAM, 7.00, 6.00, 6.00,2021-05-04
CILI MERAH KULAI / KULAI HIBRID, F.A.Q, KILOGRAM, 7.00, 6.00, 6.00,2021-05-04
CILI MERAH MINYAK, F.A.Q, KILOGRAM, 7.00, 6.00, 6.00,2021-05-04
DAGING LEMBU PEJAL, F.A.Q, KILOGRAM, 34.00, 34.00, 34.00,2021-05-04
DAGING PEJAL (INDIA), F.A.Q, KILOGRAM, 22.00, 20.00, 20.00,2021-05-04
DAUN BAWANG, F.A.Q, KILOGRAM, 15.00, 14.00, 14.00,2021-05-04
DAUN SUP (TANAH TINGGI), F.A.Q, KILOGRAM, 8.00, 7.00, 7.00,2021-05-04
KACANG BENDI, F.A.Q, KILOGRAM, 7.00, 6.00, 6.00,2021-05-04
KACANG BUNCIS, F.A.Q, KILOGRAM, 14.00, 14.00, 14.00,2021-05-04
KACANG PANJANG HIJAU, F.A.Q, KILOGRAM, 6.00, 5.00, 5.00,2021-05-04
KANGKUNG, F.A.Q, KILOGRAM, 4.00, 3.00, 3.00,2021-05-04
KELAPA DIKUPAS, BESAR, BIJI, 2.60, 2.60, 2.60,2021-05-04
KELAPA DIKUPAS, KECIL, BIJI, 1.80, 1.80, 1.80,2021-05-04
KELAPA DIKUPAS, SEDANG, BIJI, 2.20, 2.00, 2.00,2021-05-04
KELAPA DIKUPAS, TIDAK DIGRED, BIJI, 2.20, 2.00, 2.00,2021-05-04
KELAPA PARUT, F.A.Q, KILOGRAM, 7.00, 6.00, 6.00,2021-05-04
KETOLA / PETOLA SEGI, F.A.Q, KILOGRAM, 4.00, 3.00, 3.00,2021-05-04
KUBIS BULAT (CHINA), F.A.Q, KILOGRAM, 4.00, 3.00, 3.00,2021-05-04
KUBIS BULAT (INDONESIA), F.A.Q, KILOGRAM, 4.00, 3.00, 3.00,2021-05-04
KUBIS BULAT (TANAH TINGGI), F.A.Q, KILOGRAM, 4.00, 4.00, 4.00,2021-05-04
PISANG BERANGAN, F.A.Q, KILOGRAM, 6.00, 5.00, 5.00,2021-05-04
PISANG MAS, F.A.Q, KILOGRAM, 5.00, 4.00, 4.00,2021-05-04
SANTAN BIASA, F.A.Q, KILOGRAM, 9.00, 9.00, 9.00,2021-05-04
SANTAN PEKAT, F.A.Q, KILOGRAM, 12.00, 12.00, 12.00,2021-05-04
SAWI HIJAU, F.A.Q, KILOGRAM, 4.00, 4.00, 4.00,2021-05-04
TELUR AYAM, A, BIJI, .37, .37, .37,2021-05-04
TELUR AYAM, B, BIJI, .34, .34, .34,2021-05-04
TELUR AYAM, C, BIJI, .32, .32, .32,2021-05-04
TEMBIKAI MERAH TANPA BIJI, F.A.Q, KILOGRAM, 2.50, 2.00, 2.00,2021-05-04
TERUNG PANJANG / PEPARU (TANAH RENDAH), F.A.Q, KILOGRAM, 4.00, 3.00, 3.00,2021-05-04
TIMUN HIJAU , F.A.Q, KILOGRAM, 4.00, 3.00, 3.00,2021-05-04
TOMATO (TANAH TINGGI), F.A.Q, KILOGRAM, 4.00, 3.00, 3.00,2021-05-04
UBI KENTANG HOLLAND, F.A.Q, KILOGRAM, 4.00, 4.00, 4.00,2021-05-04
Pusat : MELAKA TENGAH, MELAKA],,,,,2021-05-04
Nama Varieti, Gred, Unit, Harga],,,2021-05-04
Tinggi, Purata, Rendah],,,,2021-05-04
AYAM PROSES STANDARD, F.A.Q, KILOGRAM, 7.90, 7.90, 7.90,2021-05-04
BAWANG BESAR KUNING / HOLLAND, F.A.Q, KILOGRAM, 4.00, 3.50, 3.50,2021-05-04
BAWANG BESAR MERAH (INDIA), F.A.Q, KILOGRAM, 5.00, 4.25, 3.50,2021-05-04
BAWANG MERAH / KECIL (IMPORT), F.A.Q, KILOGRAM, 6.00, 5.50, 5.00,2021-05-04
BAWANG MERAH / KECIL (INDIA), F.A.Q, KILOGRAM, 6.00, 6.00, 6.00,2021-05-04
BAWANG MERAH / KECIL (THAI), F.A.Q, KILOGRAM, 12.00, 11.50, 11.00,2021-05-04
BAWANG MERAH ROSE, F.A.Q, KILOGRAM, 10.00, 9.00, 8.00,2021-05-04
BAWANG PUTIH (CHINA), F.A.Q, KILOGRAM, 8.00, 8.00, 8.00,2021-05-04
BAYAM , F.A.Q, KILOGRAM, 3.50, 3.00, 3.00,2021-05-04
BELIMBING (B10), F.A.Q, KILOGRAM, 8.00, 7.00, 6.00,2021-05-04
BETIK SEKAKI, F.A.Q, KILOGRAM, 3.50, 3.25, 3.00,2021-05-04
BUNGA KANTAN, F.A.Q, TANGKAI, 2.50, 2.50, 2.00,2021-05-04
CILI HIJAU, F.A.Q, KILOGRAM, 12.00, 11.00, 11.00,2021-05-04
CILI MERAH KULAI / KULAI HIBRID, F.A.Q, KILOGRAM, 13.00, 12.00, 12.00,2021-05-04
CILI MERAH MINYAK, F.A.Q, KILOGRAM, 9.00, 9.00, 8.00,2021-05-04
DAGING LEMBU PEJAL, F.A.Q, KILOGRAM, 34.00, 34.00, 34.00,2021-05-04
DAGING PEJAL (INDIA), F.A.Q, KILOGRAM, 22.00, 21.00, 20.00,2021-05-04
DAUN BAWANG, F.A.Q, KILOGRAM, 18.00, 15.00, 15.00,2021-05-04
DAUN SUP (TANAH TINGGI), F.A.Q, KILOGRAM, 10.00, 8.00, 8.00,2021-05-04
KACANG BENDI, F.A.Q, KILOGRAM, 6.00, 5.00, 5.00,2021-05-04
KACANG BUNCIS, F.A.Q, KILOGRAM, 12.00, 12.00, 10.00,2021-05-04
KACANG PANJANG HIJAU, F.A.Q, KILOGRAM, 6.00, 5.00, 5.00,2021-05-04
KANGKUNG, F.A.Q, KILOGRAM, 3.50, 3.00, 3.00,2021-05-04
KELAPA DIKUPAS, BESAR, BIJI, 2.50, 2.50, 2.50,2021-05-04
KELAPA DIKUPAS, KECIL, BIJI, 2.00, 1.85, 1.70,2021-05-04
KELAPA DIKUPAS, SEDANG, BIJI, 2.00, 2.00, 2.00,2021-05-04
KELAPA DIKUPAS, TIDAK DIGRED, BIJI, 2.50, 2.00, 1.90,2021-05-04
KELAPA PARUT, F.A.Q, KILOGRAM, 7.00, 7.00, 7.00,2021-05-04
KETOLA / PETOLA SEGI, F.A.Q, KILOGRAM, 6.00, 6.00, 5.00,2021-05-04
KUBIS BULAT (CHINA), F.A.Q, KILOGRAM, 3.50, 3.50, 3.50,2021-05-04
KUBIS BULAT (INDONESIA), F.A.Q, KILOGRAM, 3.00, 3.00, 3.00,2021-05-04
KUBIS BULAT (TANAH TINGGI), F.A.Q, KILOGRAM, 4.00, 4.00, 3.50,2021-05-04
PISANG BERANGAN, F.A.Q, KILOGRAM, 4.00, 3.75, 3.50,2021-05-04
PISANG MAS, F.A.Q, KILOGRAM, 4.70, 4.60, 4.50,2021-05-04
SANTAN PEKAT, F.A.Q, KILOGRAM, 12.00, 12.00, 12.00,2021-05-04
SAWI HIJAU, F.A.Q, KILOGRAM, 5.00, 4.00, 4.00,2021-05-04
TELUR AYAM, A, BIJI, .36, .36, .36,2021-05-04
TELUR AYAM, B, BIJI, .35, .35, .35,2021-05-04
TELUR AYAM, C, BIJI, .34, .34, .34,2021-05-04
TEMBIKAI MERAH, F.A.Q, KILOGRAM, 2.50, 2.25, 2.00,2021-05-04
TEMBIKAI MERAH TANPA BIJI, F.A.Q, KILOGRAM, 2.50, 2.25, 2.00,2021-05-04
TERUNG PANJANG / PEPARU (TANAH RENDAH), F.A.Q, KILOGRAM, 6.50, 6.00, 6.00,2021-05-04
TIMUN HIJAU , F.A.Q, KILOGRAM, 4.50, 4.00, 4.00,2021-05-04
TOMATO (TANAH TINGGI), F.A.Q, KILOGRAM, 3.50, 3.00, 3.00,2021-05-04
UBI KENTANG HOLLAND, F.A.Q, KILOGRAM, 3.00, 3.00, 3.00,2021-05-04
Pusat : SEREMBAN, NEGERI SEMBILAN],,,,,2021-05-04
Nama Varieti, Gred, Unit, Harga],,,2021-05-04
Tinggi, Purata, Rendah],,,,2021-05-04
AYAM PROSES STANDARD, F.A.Q, KILOGRAM, 7.90, 7.90, 7.90,2021-05-04
BAWANG BESAR KUNING / HOLLAND, F.A.Q, KILOGRAM, 4.00, 3.75, 3.50,2021-05-04
BAWANG BESAR MERAH (INDIA), F.A.Q, KILOGRAM, 3.50, 3.25, 3.00,2021-05-04
BAWANG MERAH / KECIL (IMPORT), F.A.Q, KILOGRAM, 5.00, 4.50, 4.00,2021-05-04
BAWANG MERAH / KECIL (THAI), F.A.Q, KILOGRAM, 10.00, 9.50, 9.00,2021-05-04
BAWANG MERAH ROSE, F.A.Q, KILOGRAM, 9.00, 8.50, 8.00,2021-05-04
BAWANG PUTIH (CHINA), F.A.Q, KILOGRAM, 9.00, 8.50, 8.00,2021-05-04
BAYAM , F.A.Q, KILOGRAM, 3.00, 2.75, 2.50,2021-05-04
BELIMBING (B10), F.A.Q, KILOGRAM, 4.50, 4.25, 4.00,2021-05-04
BETIK SEKAKI, F.A.Q, KILOGRAM, 3.50, 3.25, 3.00,2021-05-04
BUNGA KANTAN, F.A.Q, TANGKAI, 2.00, 1.90, 1.80,2021-05-04
CILI HIJAU, F.A.Q, KILOGRAM, 10.00, 9.50, 9.00,2021-05-04
CILI MERAH KULAI / KULAI HIBRID, F.A.Q, KILOGRAM, 12.00, 11.50, 11.00,2021-05-04
CILI MERAH MINYAK, F.A.Q, KILOGRAM, 10.00, 9.50, 9.00,2021-05-04
DAGING LEMBU PEJAL, F.A.Q, KILOGRAM, 34.00, 34.00, 34.00,2021-05-04
DAGING PEJAL (INDIA), F.A.Q, KILOGRAM, 20.00, 20.00, 20.00,2021-05-04
DAUN BAWANG, F.A.Q, KILOGRAM, 20.00, 19.50, 19.00,2021-05-04
DAUN SUP (TANAH TINGGI), F.A.Q, KILOGRAM, 9.00, 8.50, 8.00,2021-05-04
KACANG BENDI, F.A.Q, KILOGRAM, 7.00, 6.50, 6.00,2021-05-04
KACANG BUNCIS, F.A.Q, KILOGRAM, 14.00, 13.50, 13.00,2021-05-04
KACANG PANJANG HIJAU, F.A.Q, KILOGRAM, 6.00, 5.50, 5.00,2021-05-04
KANGKUNG, F.A.Q, KILOGRAM, 3.00, 2.90, 2.80,2021-05-04
KELAPA DIKUPAS, SEDANG, BIJI, 2.50, 2.40, 2.30,2021-05-04
KELAPA PARUT, F.A.Q, KILOGRAM, 7.50, 7.35, 7.20,2021-05-04
KETOLA / PETOLA SEGI, F.A.Q, KILOGRAM, 7.00, 6.50, 6.00,2021-05-04
KUBIS BULAT (TANAH TINGGI), F.A.Q, KILOGRAM, 4.50, 4.25, 4.00,2021-05-04
PISANG BERANGAN, F.A.Q, KILOGRAM, 4.50, 4.25, 4.00,2021-05-04
PISANG MAS, F.A.Q, KILOGRAM, 4.50, 4.25, 4.00,2021-05-04
SANTAN BIASA, F.A.Q, KILOGRAM, 9.00, 8.75, 8.50,2021-05-04
SAWI HIJAU, F.A.Q, KILOGRAM, 7.00, 6.50, 6.00,2021-05-04
TELUR AYAM, A, BIJI, .36, .36, .36,2021-05-04
TELUR AYAM, B, BIJI, .35, .35, .35,2021-05-04
TELUR AYAM, C, BIJI, .34, .34, .34,2021-05-04
TEMBIKAI MERAH TANPA BIJI, F.A.Q, KILOGRAM, 3.00, 2.75, 2.50,2021-05-04
TERUNG PANJANG / PEPARU (TANAH RENDAH), F.A.Q, KILOGRAM, 7.00, 6.50, 6.00,2021-05-04
TIMUN HIJAU , F.A.Q, KILOGRAM, 3.00, 2.90, 2.80,2021-05-04
TOMATO (TANAH TINGGI), F.A.Q, KILOGRAM, 3.50, 3.25, 3.00,2021-05-04
UBI KENTANG HOLLAND, F.A.Q, KILOGRAM, 4.00, 3.75, 3.50,2021-05-04
Pusat : KUANTAN, PAHANG],,,,,2021-05-04
Nama Varieti, Gred, Unit, Harga],,,2021-05-04
Tinggi, Purata, Rendah],,,,2021-05-04
AYAM HIDUP, F.A.Q, KILOGRAM, 6.80, 6.80, 6.80,2021-05-04
AYAM PROSES STANDARD, F.A.Q, KILOGRAM, 7.90, 7.90, 7.90,2021-05-04
AYAM PROSES SUPER, F.A.Q, KILOGRAM, 8.70, 8.70, 8.70,2021-05-04
BAWANG BESAR KUNING / HOLLAND, F.A.Q, KILOGRAM, 3.50, 3.50, 3.50,2021-05-04
BAWANG BESAR MERAH (INDIA), F.A.Q, KILOGRAM, 3.50, 3.50, 3.50,2021-05-04
BAWANG MERAH / KECIL (INDIA), F.A.Q, KILOGRAM, 4.00, 4.00, 4.00,2021-05-04
BAWANG MERAH ROSE, F.A.Q, KILOGRAM, 7.00, 7.00, 7.00,2021-05-04
BAWANG PUTIH (CHINA), F.A.Q, KILOGRAM, 8.00, 8.00, 8.00,2021-05-04
BAYAM , F.A.Q, KILOGRAM, 4.00, 4.00, 3.50,2021-05-04
BELIMBING (B10), F.A.Q, KILOGRAM, 7.00, 7.00, 7.00,2021-05-04
BETIK SEKAKI, F.A.Q, KILOGRAM, 3.50, 3.50, 3.50,2021-05-04
BUNGA KANTAN, F.A.Q, TANGKAI, 2.00, 2.00, 2.00,2021-05-04
CILI HIJAU, F.A.Q, KILOGRAM, 9.00, 8.00, 8.00,2021-05-04
CILI MERAH KULAI / KULAI HIBRID, F.A.Q, KILOGRAM, 13.00, 12.00, 12.00,2021-05-04
CILI MERAH MINYAK, F.A.Q, KILOGRAM, 11.00, 10.00, 10.00,2021-05-04
DAGING LEMBU PEJAL, F.A.Q, KILOGRAM, 34.00, 34.00, 34.00,2021-05-04
DAGING PEJAL (INDIA), F.A.Q, KILOGRAM, 21.00, 20.50, 20.00,2021-05-04
DAUN BAWANG, F.A.Q, KILOGRAM, 18.00, 18.00, 16.00,2021-05-04
DAUN SUP (TANAH TINGGI), F.A.Q, KILOGRAM, 9.00, 8.00, 8.00,2021-05-04
KACANG BENDI, F.A.Q, KILOGRAM, 6.00, 6.00, 6.00,2021-05-04
KACANG BUNCIS, F.A.Q, KILOGRAM, 14.00, 13.00, 13.00,2021-05-04
KACANG PANJANG HIJAU, F.A.Q, KILOGRAM, 7.00, 6.00, 6.00,2021-05-04
KANGKUNG, F.A.Q, KILOGRAM, 4.00, 3.50, 3.00,2021-05-04
KELAPA DIKUPAS, SEDANG, BIJI, 2.50, 2.50, 2.50,2021-05-04
KELAPA PARUT, F.A.Q, KILOGRAM, 7.00, 7.00, 7.00,2021-05-04
KETOLA / PETOLA SEGI, F.A.Q, KILOGRAM, 6.00, 6.00, 5.00,2021-05-04
KUBIS BULAT (CHINA), F.A.Q, KILOGRAM, 3.00, 3.00, 3.00,2021-05-04
KUBIS BULAT (INDONESIA), F.A.Q, KILOGRAM, 3.00, 3.00, 3.00,2021-05-04
KUBIS BULAT (TANAH TINGGI), F.A.Q, KILOGRAM, 4.00, 4.00, 4.00,2021-05-04
PISANG BERANGAN, F.A.Q, KILOGRAM, 5.00, 5.00, 5.00,2021-05-04
PISANG MAS, F.A.Q, KILOGRAM, 5.00, 5.00, 5.00,2021-05-04
SANTAN BIASA, F.A.Q, KILOGRAM, 7.00, 7.00, 7.00,2021-05-04
SANTAN PEKAT, F.A.Q, KILOGRAM, 15.00, 15.00, 15.00,2021-05-04
SAWI HIJAU, F.A.Q, KILOGRAM, 6.00, 6.00, 6.00,2021-05-04
TELUR AYAM, A, BIJI, .36, .36, .36,2021-05-04
TELUR AYAM, B, BIJI, .35, .35, .35,2021-05-04
TELUR AYAM, C, BIJI, .27, .27, .27,2021-05-04
TEMBIKAI MERAH TANPA BIJI, F.A.Q, KILOGRAM, 3.00, 3.00, 3.00,2021-05-04
TERUNG PANJANG / PEPARU (TANAH RENDAH), F.A.Q, KILOGRAM, 8.00, 8.00, 7.00,2021-05-04
TIMUN HIJAU , F.A.Q, KILOGRAM, 3.50, 3.50, 3.00,2021-05-04
TOMATO (TANAH TINGGI), F.A.Q, KILOGRAM, 3.50, 3.50, 3.00,2021-05-04
UBI KENTANG HOLLAND, F.A.Q, KILOGRAM, 3.00, 3.00, 3.00,2021-05-04
Pusat : ROMPIN, PAHANG],,,,,2021-05-04
Nama Varieti, Gred, Unit, Harga],,,2021-05-04
Tinggi, Purata, Rendah],,,,2021-05-04
KELAPA DIKUPAS, BESAR, BIJI, 2.50, 2.00, 2.00,2021-05-04
KELAPA DIKUPAS, KECIL, BIJI, 2.00, 1.80, 1.80,2021-05-04
Pusat : SEBERANG PERAI TENGAH, PULAU PINANG],,,,,2021-05-04
Nama Varieti, Gred, Unit, Harga],,,2021-05-04
Tinggi, Purata, Rendah],,,,2021-05-04
AYAM PROSES STANDARD, F.A.Q, KILOGRAM, 7.90, 7.90, 7.90,2021-05-04
BAWANG BESAR KUNING / HOLLAND, F.A.Q, KILOGRAM, 5.00, 4.50, 4.00,2021-05-04
BAWANG BESAR MERAH (IMPORT), F.A.Q, KILOGRAM, 2.50, 2.50, 2.50,2021-05-04
BAWANG BESAR MERAH (INDIA), F.A.Q, KILOGRAM, 3.00, 3.00, 3.00,2021-05-04
BAWANG MERAH / KECIL (IMPORT), F.A.Q, KILOGRAM, 7.00, 6.50, 6.00,2021-05-04
BAWANG MERAH / KECIL (INDIA), F.A.Q, KILOGRAM, 8.00, 7.50, 7.00,2021-05-04
BAWANG MERAH / KECIL (THAI), F.A.Q, KILOGRAM, 9.00, 8.50, 8.00,2021-05-04
BAWANG MERAH ROSE, F.A.Q, KILOGRAM, 7.00, 7.00, 7.00,2021-05-04
BAWANG PUTIH (CHINA), F.A.Q, KILOGRAM, 9.00, 8.50, 8.00,2021-05-04
BAYAM , F.A.Q, KILOGRAM, 5.00, 4.75, 4.50,2021-05-04
BETIK SEKAKI, F.A.Q, KILOGRAM, 5.00, 5.00, 5.00,2021-05-04
BUNGA KANTAN, F.A.Q, TANGKAI, 2.00, 1.75, 1.50,2021-05-04
CILI HIJAU, F.A.Q, KILOGRAM, 15.00, 13.50, 12.00,2021-05-04
CILI MERAH KULAI / KULAI HIBRID, F.A.Q, KILOGRAM, 15.00, 14.50, 14.00,2021-05-04
DAGING LEMBU PEJAL, F.A.Q, KILOGRAM, 34.00, 34.00, 34.00,2021-05-04
DAGING PEJAL (INDIA), F.A.Q, KILOGRAM, 25.00, 25.00, 25.00,2021-05-04
DAUN BAWANG, F.A.Q, KILOGRAM, 20.00, 19.00, 18.00,2021-05-04
DAUN SUP (TANAH TINGGI), F.A.Q, KILOGRAM, 12.00, 11.00, 10.00,2021-05-04
KACANG BENDI, F.A.Q, KILOGRAM, 8.00, 7.50, 7.00,2021-05-04
KACANG BUNCIS, F.A.Q, KILOGRAM, 15.00, 14.50, 14.00,2021-05-04
KACANG PANJANG HIJAU, F.A.Q, KILOGRAM, 9.00, 8.50, 8.00,2021-05-04
KANGKUNG, F.A.Q, KILOGRAM, 4.50, 4.25, 4.00,2021-05-04
KELAPA DIKUPAS, BESAR, BIJI, 3.50, 3.50, 3.50,2021-05-04
KELAPA DIKUPAS, KECIL, BIJI, 2.50, 2.50, 2.50,2021-05-04
KELAPA DIKUPAS, SEDANG, BIJI, 3.00, 2.75, 2.50,2021-05-04
KELAPA PARUT, F.A.Q, KILOGRAM, 10.00, 9.50, 9.00,2021-05-04
KETOLA / PETOLA SEGI, F.A.Q, KILOGRAM, 7.00, 6.50, 6.00,2021-05-04
KUBIS BULAT (CHINA), F.A.Q, KILOGRAM, 4.50, 4.25, 4.00,2021-05-04
KUBIS BULAT (TANAH TINGGI), F.A.Q, KILOGRAM, 5.00, 5.00, 5.00,2021-05-04
PISANG BERANGAN, F.A.Q, KILOGRAM, 6.50, 6.25, 6.00,2021-05-04
PISANG MAS, F.A.Q, KILOGRAM, 6.50, 6.25, 6.00,2021-05-04
SANTAN PEKAT, F.A.Q, KILOGRAM, 13.00, 12.50, 12.00,2021-05-04
SAWI HIJAU, F.A.Q, KILOGRAM, 7.00, 6.50, 6.00,2021-05-04
TELUR AYAM, A, BIJI, .36, .36, .36,2021-05-04
TELUR AYAM, B, BIJI, .35, .35, .35,2021-05-04
TELUR AYAM, C, BIJI, .34, .34, .34,2021-05-04
TEMBIKAI MERAH TANPA BIJI, F.A.Q, KILOGRAM, 4.00, 3.75, 3.50,2021-05-04
TERUNG PANJANG / PEPARU (TANAH RENDAH), F.A.Q, KILOGRAM, 8.00, 7.50, 7.00,2021-05-04
TIMUN HIJAU , F.A.Q, KILOGRAM, 5.00, 4.75, 4.50,2021-05-04
TOMATO (TANAH TINGGI), F.A.Q, KILOGRAM, 4.50, 4.00, 3.50,2021-05-04
UBI KENTANG HOLLAND, F.A.Q, KILOGRAM, 3.50, 3.50, 3.50,2021-05-04
Pusat : KINTA, PERAK],,,,,2021-05-04
Nama Varieti, Gred, Unit, Harga],,,2021-05-04
Tinggi, Purata, Rendah],,,,2021-05-04
AYAM PROSES STANDARD, F.A.Q, KILOGRAM, 7.90, 7.90, 7.90,2021-05-04
BAWANG BESAR KUNING / HOLLAND, F.A.Q, KILOGRAM, 4.00, 4.00, 4.00,2021-05-04
BAWANG BESAR MERAH (INDIA), F.A.Q, KILOGRAM, 4.00, 4.00, 4.00,2021-05-04
BAWANG MERAH / KECIL (THAI), F.A.Q, KILOGRAM, 9.00, 9.00, 9.00,2021-05-04
BAWANG PUTIH (CHINA), F.A.Q, KILOGRAM, 8.00, 8.00, 8.00,2021-05-04
BAYAM , F.A.Q, KILOGRAM, 3.00, 2.50, 2.50,2021-05-04
BELIMBING (B10), F.A.Q, KILOGRAM, 5.00, 4.50, 4.50,2021-05-04
BETIK SEKAKI, F.A.Q, KILOGRAM, 3.50, 3.00, 3.00,2021-05-04
BUNGA KANTAN, F.A.Q, TANGKAI, 1.50, 1.50, 1.20,2021-05-04
CILI HIJAU, F.A.Q, KILOGRAM, 9.00, 8.00, 8.00,2021-05-04
CILI MERAH KULAI / KULAI HIBRID, F.A.Q, KILOGRAM, 12.00, 11.00, 10.00,2021-05-04
CILI MERAH MINYAK, F.A.Q, KILOGRAM, 10.00, 9.00, 9.00,2021-05-04
DAUN BAWANG, F.A.Q, KILOGRAM, 18.00, 16.00, 16.00,2021-05-04
DAUN SUP (TANAH TINGGI), F.A.Q, KILOGRAM, 9.00, 9.00, 9.00,2021-05-04
